index,PET_original_glcm_Imc1,PET_original_glszm_LargeAreaEmphasis,PET_original_glszm_SizeZoneNonUniformity,PET_log-sigma-3-0-mm-3D_glcm_Imc1,PET_wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,PET_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,PET_wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,PET_wavelet-LHH_glcm_Correlation,PET_wavelet-LHH_glrlm_LongRunEmphasis,PET_wavelet-LHH_glszm_SmallAreaEmphasis,PET_wavelet-HLL_firstorder_Skewness,PET_wavelet-HLH_firstorder_Kurtosis,PET_wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,PET_wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,PET_wavelet-HHH_glcm_ClusterTendency,PET_wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,PET_gradient_firstorder_Kurtosis,PET_gradient_glcm_Correlation,PET_lbp-3D-m1_firstorder_Kurtosis,PET_lbp-3D-k_glrlm_LowGrayLevelRunEmphasis
HN-CHUM-001,0.2997900698867453,-0.2088242614777614,-0.4687059092397672,-0.0953042379933437,0.0461795109237036,-0.3752465301884821,-0.2005780934211485,-1.3093460435997606,-0.5682589631425855,0.3649214144840331,-0.8169126829004084,-0.187378167977267,0.8718589228665697,-1.267971037711124,-0.6735984390816229,-0.6231869333338466,-0.5869866438317612,0.0171032545481694,-0.4295177705010089,-0.435777382987611
HN-CHUM-002,-0.685830899346749,0.1028432814110175,-0.5811538912197355,-0.9666306219475668,-0.0269935458912766,0.4442244324058649,-0.1440616973557647,-1.1217043510756946,-0.536036710133142,-0.3203805071383941,-0.9982138430756764,0.2514893794159473,-1.2934677737771738,0.8650352610431888,-0.6581647820150656,-1.7213611354611198,-0.5612299090468845,1.4080789580501964,-0.6071068976238743,-0.2237649159918384
HN-CHUM-003,-0.424916271821813,-0.1283162773310606,-0.5804944943240739,-1.4026769634107328,0.0885158113091323,0.0255427200201562,-0.0304676655945855,-0.7654778424402663,-0.421479692885032,0.9996513813144672,0.6384868784304182,0.1843958485330262,-0.7694223211440668,-0.4055446750238768,-0.5735216193334268,-0.8003118046446969,-0.5557541656909291,-2.022078898812283,0.0464275526042525,-0.3153837698659663
HN-CHUM-005,-2.115379419885051,-0.1944395018976778,-0.5840292627354418,-2.1030682935962663,-0.31570756400728,-0.0381118718037167,-0.4640333606859042,-0.9630336272292944,-1.3536402382999055,-0.6667797729634105,-1.986892444914624,4.131181000470892,-0.7694223211440668,0.2942710288214844,-0.4244906998266236,-1.1490263950379338,-0.5632736265540202,-3.519543823499584,-1.349102993949411,-1.0752309985882975
HN-CHUM-006,0.6128798701567112,-0.2112442149702658,-0.0956410615937432,0.3107380990952718,-0.0017630404979395,-0.3672014537278237,-0.012447802195668,1.2723436802968762,1.14200113515468,0.6779551264454419,-0.0486821399909089,-0.1066264960545094,0.4658276743482591,-0.0505656948124615,0.3910944121329969,-0.9304443631587912,-0.6461796001487534,0.6482061618495774,0.1782862434098003,-0.4241776514623596
HN-CHUM-007,-0.2666128705305435,-0.210571621898126,-0.3657856125151442,-0.3993467739536497,0.0577794332313594,-0.381863741082399,0.2780101446472371,1.0974191470254864,1.1194208735172777,0.1901952464293297,-3.012325755317767,2.32641999704526,1.152077671843995,1.9609818597188908,0.3239331081838497,0.9532244213327228,1.5843405725777835,0.836181456967869,-0.3884954649325121,-0.5547838791721363
HN-CHUM-008,0.5659311669030278,-0.2110411739214107,-0.1384182881681254,0.2126023812248819,1.0160572282327744,-0.3831637628983002,2.244862757860962,1.3324406128163426,1.6939740036337865,1.0051906090940117,-1.9561040623364296,0.1116969578757767,0.2677887477353018,1.0853670418640673,0.5327922605654644,2.4633973625860035,2.9254654916666984,0.7489040434691985,0.9347038159969536,-0.5494333739195231
HN-CHUM-009,-1.694701598751442,-0.2115177606909492,0.4931218592423931,0.3004528135144944,-0.3162909921807098,-0.3887734831304286,-0.4719704729835653,1.622898635154183,-0.360192295210503,-1.197722350823563,2.019026164739855,-0.9316541135190494,-1.315173798442451,-0.6319867525534614,0.686726722699632,0.2624374232204057,-0.5230963031209165,0.0954890043856772,2.733064209207772,2.3563619941914102
HN-CHUM-010,-1.1906302186010207,0.0188299892878739,-0.5811498619310435,-1.3840368951662572,-0.1689184523099567,0.7076629199239788,0.0178593645188289,0.5932424873709982,0.6432929490409178,-0.6332144065570391,0.3447556746224596,0.0345175409226233,-0.1262756292761613,0.1003003717773898,0.1966144794506074,-0.8999445447570503,-0.7029010567524206,-2.434018539778433,0.739586993832147,-0.2032265110036764
HN-CHUM-011,0.3037267407129287,-0.2115147813538078,2.730229733603742,1.2024199032863638,-0.2994521685517759,-0.3904544990608404,-0.4353384321924307,0.963373566053774,0.3710100881907043,-0.5707980307448716,0.906821797580852,-0.4090840154890073,-0.836291892583568,-0.403741294155272,0.2671756493952537,1.0927102574900176,-0.8815198653623252,0.6417819518532873,0.9729799419195168,-0.1194989927832176
