index,DD_original_shape_SurfaceArea,DD_original_glrlm_RunLengthNonUniformity,DD_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,DD_log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,DD_log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,DD_wavelet-LLH_glszm_GrayLevelNonUniformity,DD_wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,DD_lbp-3D-m1_firstorder_Mean,DD_logarithm_glszm_SmallAreaLowGrayLevelEmphasis
HN-CHUM-001,0.4654113515382837,-0.1667272262564722,4.100322783708019,-1.8205855837343663,-1.5284809260290189,0.7076397889226532,0.7523246625738407,0.6239937521632227,-1.000847124535337
HN-CHUM-002,0.5593717417233943,-0.0796067595427745,-0.5543603849652642,0.1549737010307366,0.1837060094023394,1.1268212295513562,-0.4088610015533451,0.9640189423328064,1.432503074038879
HN-CHUM-003,0.7333005870066591,-0.0820335983546235,-0.5270300349113957,0.4760088646642516,0.5856939054942133,1.2122442143135137,0.0099217327157327,-1.488913700990921,-0.2036329239683144
HN-CHUM-005,-0.987434674428554,-0.9210483956546894,0.4641725081858628,-0.3856460414546528,-0.0640157955630861,-0.4552952657344848,0.818199124866187,3.285638116564742,0.7511920754891477
HN-CHUM-013,-1.040607010639769,-0.989270383764712,0.1384276271080958,0.1530375414652566,-0.6651557009868388,-0.5236810261640041,0.0940815061453407,-1.1779488088320076,1.1850695535876072
HN-CHUM-017,1.4574266771477329,0.3785677280550915,-0.5396586509057081,-0.15861645380974,-0.2312283691029136,0.7200849916478782,-0.9260166450357772,0.2512985234136239,0.4968411967292907
HN-CHUM-018,0.1615238162046441,-0.3306002706611818,-0.8049718287823329,0.3923129553512418,-0.0084268107311927,-0.2794992620216444,-0.4005998175252691,-0.3885764073762878,3.2374749805717142
HN-CHUM-020,5.787438884797003,1.4798197555314472,-0.9821915227417348,1.9527526815936156,1.247938399023914,3.8867314119028977,-0.8093392568367058,-0.6633910489485788,-0.7448691394982326
HN-CHUM-021,0.7126955162786219,-0.0065449959673537,0.797639616096898,0.1660339009367198,-0.5913546975938712,0.3869254842105323,0.5618136590474302,1.072363163435182,-1.0309537503076809
HN-CHUM-025,0.50620330481057,-0.1769577647888634,-0.7859229685998586,1.0695571552712868,0.3255940153322944,1.6381638254141744,-0.2373798010768424,-0.2881630880909753,1.452434069257256
HN-CHUM-026,1.7460586360473198,0.4424432416437413,-0.8106910429208878,0.5717077868673697,0.7766792221074003,4.112004921500336,0.2014280827854777,1.366819491354871,-0.305671617211472
HN-CHUM-030,0.6821602736950628,-0.6656144165112863,0.3568282947869063,1.225632815201407,0.4163943431951417,-0.230562560522977,-1.194174937794711,0.1199106602749385,0.7142817581127178
HN-CHUM-031,-0.6108774808708017,-0.7078640678441943,-0.6676243173529123,0.8266329144792306,2.027909074174548,-0.2216020145608149,0.3616100518254792,0.6164538231202074,0.9055224035395594
HN-CHUM-032,0.851817822148234,-0.1216989429086479,0.9670836711095516,0.834026952757816,0.4366225819445521,0.5062416157886352,0.655821234607573,0.2810692089483555,1.1738794992876664
HN-CHUM-033,0.957739113973508,-0.0392463476733669,-0.1791214318389548,-0.0589648122013272,0.0848729261383754,0.5533947006009247,0.4363151949463928,0.4358554259811291,-0.006182652704542
HN-CHUM-035,2.0784395511604847,0.5993230747180752,-0.5409450922839819,0.0059210464887535,0.6700985941646542,2.256850820703028,0.5367731809105647,0.5165125314137146,-0.3832403457319057
HN-CHUM-040,-0.8200114300348215,-0.7877792054097633,1.2821053888574483,-1.191403542173869,1.3504489456869369,-0.2340472172860401,-0.7776123306106728,0.4347738464878133,-1.0290695106098495
HN-CHUM-051,-0.3538555857900159,-0.5054825405421521,0.657861807409332,0.5114459625413227,0.7670165470727993,1.085144271587812,1.2409667850890649,0.4292405034446928,0.1634523486250051
HN-CHUM-052,1.323957145249712,0.2787221834008874,-0.2552117589929263,0.2223013711442593,0.002648856733349,2.570164046125052,-0.4793857097713476,-1.389894933158511,-0.7921989143700403
HN-CHUM-054,-0.962583232886514,-0.8434260534063897,-0.5606465027621059,0.1836856432185363,0.5442675524755555,-0.4347261112302935,-1.4266971509172932,1.179543110245215,-0.6280689653343424
HN-CHUM-061,-0.2186926452512346,-0.3707378640468231,-0.3511186413565474,-1.208897215644639,-1.153516002987722,1.4299375929915872,-0.0141247061976033,-0.446292216493026,-0.0826282482839008
HN-CHUM-063,1.4466911263356237,0.2560823094700388,0.8821712978765431,-1.1884320280945733,-1.0963737417282473,0.8082385109515553,-0.3681834787350375,-0.0219654432904677,0.3201275452851805
HN-CHUM-064,1.981885552914315,0.7362861647764314,-0.9431624944508262,0.5194208109788258,0.1626405956107347,1.411208582988707,-0.960704132415118,-0.2596765805032519,0.0094246785530627
HN-CHUM-065,1.606322501908941,0.566155577350125,-0.8296945944432317,0.8655604145858341,1.243332406080118,3.448631444006652,-1.443814485375641,0.3442588790465354,0.4849035675109417
HN-CHUS-025,0.5150339413096332,0.6400948675495124,-0.984525911507096,2.871654808466059,2.2023130667004187,0.2235662504887881,-2.5040454439372377,-0.1252275047378536,-0.9443400566062194
HN-CHUS-028,-0.7764015817200529,-0.8950138773660544,0.8522514844642877,-2.246228790969861,-1.272045267123718,-0.5986916571351331,1.2409667850890649,-1.38297238734254,1.541660662890601
HN-CHUS-029,-0.8977290748359228,-0.9258500905927318,0.9147070359630154,-2.008510638674568,-2.0523788114676216,-0.7105206930517979,0.3616100518254792,-0.026091297847795,-0.8640176527618019
