Variable,P-value
DD_original_shape_Elongation,0.31421325824289115
DD_original_shape_Flatness,0.5930564589045199
DD_original_shape_LeastAxisLength,0.01589667967936104
DD_original_shape_MajorAxisLength,0.1049461499496501
DD_original_shape_Maximum2DDiameterColumn,0.21851732274207283
DD_original_shape_Maximum2DDiameterRow,0.0063924978965437034
DD_original_shape_Maximum2DDiameterSlice,0.051645195583609735
DD_original_shape_MeshVolume,0.0007181445338609153
DD_original_shape_MinorAxisLength,0.014940965200244842
DD_original_shape_Sphericity,0.4628125722990928
DD_original_shape_SurfaceArea,0.0126873954947295
DD_original_shape_SurfaceVolumeRatio,0.01595620992909704
DD_original_firstorder_10Percentile,0.15239024648550925
DD_original_firstorder_Entropy,0.778957840198333
DD_original_firstorder_Kurtosis,0.3681770249986877
DD_original_firstorder_Range,0.23144543778842008
DD_original_glcm_ClusterTendency,0.9522576795242212
DD_original_glcm_Contrast,0.6888398039607355
DD_original_glcm_Correlation,0.32500241298751503
DD_original_glcm_Imc1,0.2228335109154197
DD_original_glrlm_LongRunEmphasis,0.1049461499496501
DD_original_glrlm_LowGrayLevelRunEmphasis,0.29075032238674675
DD_original_glrlm_RunLengthNonUniformity,0.041762577619357956
DD_original_glrlm_RunLengthNonUniformityNormalized,0.031866883291573
DD_original_glszm_GrayLevelNonUniformity,0.5343627430809555
DD_original_glszm_GrayLevelNonUniformityNormalized,0.2935548198406892
DD_original_glszm_LowGrayLevelZoneEmphasis,0.2535689007688112
DD_original_glszm_SizeZoneNonUniformity,0.21851732274207283
DD_original_glszm_SizeZoneNonUniformityNormalized,0.5975928684939608
DD_original_glszm_SmallAreaEmphasis,0.9491285125539578
DD_original_glszm_SmallAreaLowGrayLevelEmphasis,0.247110147668073
DD_original_glszm_ZoneEntropy,0.07113786382036179
DD_original_gldm_DependenceNonUniformity,0.01277762340593309
DD_original_gldm_GrayLevelNonUniformity,0.0015547489178645297
DD_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.4881602590978818
DD_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.695128190222918
DD_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9410604795743751
DD_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.21309611522376262
DD_log-sigma-2-0-mm-3D_firstorder_Minimum,0.14050609591499638
DD_log-sigma-2-0-mm-3D_firstorder_Skewness,0.7997018233630512
DD_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.7513679706043421
DD_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.8062393002077832
DD_log-sigma-2-0-mm-3D_glcm_Contrast,0.6746674788457506
DD_log-sigma-2-0-mm-3D_glcm_Correlation,0.6971770623678211
DD_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.7537413092937741
DD_log-sigma-2-0-mm-3D_glcm_Imc1,0.8928400453519467
DD_log-sigma-2-0-mm-3D_glcm_Imc2,0.7513679706043421
DD_log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.020742708612558867
DD_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9066119072020103
DD_log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7703817043329847
