Variable,P-value
PET_original_shape_Elongation,0.2673330819882722
PET_original_shape_Flatness,0.9124848641195493
PET_original_shape_LeastAxisLength,0.004761189236091274
PET_original_shape_MajorAxisLength,0.07119088962433152
PET_original_shape_Maximum2DDiameterColumn,0.08433322613466128
PET_original_shape_Maximum2DDiameterRow,0.0019093803260537422
PET_original_shape_Maximum2DDiameterSlice,0.010004614121350303
PET_original_shape_MeshVolume,2.0959916005334064e-05
PET_original_shape_MinorAxisLength,0.00272105029419734
PET_original_shape_Sphericity,0.11200447957679993
PET_original_shape_SurfaceVolumeRatio,0.08635508935631851
PET_original_firstorder_10Percentile,0.9374111285598353
PET_original_firstorder_Energy,0.7535033048025025
PET_original_firstorder_Entropy,0.5179708911053376
PET_original_firstorder_Kurtosis,0.4081311834186313
PET_original_firstorder_Skewness,0.8980436237342607
PET_original_firstorder_Uniformity,0.943853373201739
PET_original_glcm_Correlation,0.5482576236882826
PET_original_glcm_Imc1,0.6733034299823665
PET_original_glcm_InverseVariance,0.47917924738011336
PET_original_glrlm_GrayLevelNonUniformity,0.07415797833586873
PET_original_glrlm_RunLengthNonUniformity,0.00045279042365656795
PET_original_glszm_GrayLevelNonUniformity,0.002748725652053918
PET_original_glszm_LargeAreaEmphasis,0.09508961595332678
PET_original_glszm_LargeAreaHighGrayLevelEmphasis,0.17141435582237644
PET_original_glszm_SizeZoneNonUniformity,0.002605458408050815
PET_original_glszm_SmallAreaLowGrayLevelEmphasis,0.34606684597943993
PET_original_glszm_ZoneVariance,0.37460427552124353
PET_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7123572561328
PET_log-sigma-2-0-mm-3D_firstorder_Median,0.8980436237342607
PET_log-sigma-2-0-mm-3D_glcm_Correlation,0.730496880555281
PET_log-sigma-2-0-mm-3D_glcm_Imc1,0.07415797833586873
PET_log-sigma-2-0-mm-3D_glcm_InverseVariance,0.0895109032557929
PET_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.010004614121350303
PET_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.6448075543462435
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0016638465220217052
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.7204753569702196
PET_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.8974435480779583
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0016638465220217052
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.08159161782262767
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.14058412213249194
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.5987247615886424
PET_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.4081311834186313
