Variable,P-value
CT_original_shape_Elongation,0.4669196313768021
CT_original_shape_Flatness,0.9827960255928629
CT_original_shape_LeastAxisLength,0.0009679741910797938
CT_original_shape_MajorAxisLength,0.027925365218588974
CT_original_shape_Maximum2DDiameterColumn,0.06159480526714157
CT_original_shape_Maximum2DDiameterRow,0.00025771206488567745
CT_original_shape_Maximum2DDiameterSlice,0.0036069893057588515
CT_original_shape_MeshVolume,2.5805242383804414e-07
CT_original_shape_Sphericity,0.39728670790826925
CT_original_shape_SurfaceVolumeRatio,0.48145063275167627
CT_original_firstorder_10Percentile,0.806352471652164
CT_original_firstorder_90Percentile,0.4737036804327819
CT_original_firstorder_Entropy,0.7493761195351988
CT_original_firstorder_InterquartileRange,0.43359715166129603
CT_original_firstorder_Kurtosis,0.7845459478306714
CT_original_firstorder_Maximum,0.8287637040159018
CT_original_firstorder_MeanAbsoluteDeviation,0.719249774819201
CT_original_firstorder_Minimum,0.44055408237680316
CT_original_firstorder_Range,0.6622006489683959
CT_original_firstorder_RobustMeanAbsoluteDeviation,0.40673412701900774
CT_original_firstorder_Skewness,0.910046920304262
CT_original_glcm_Contrast,0.712644491328402
CT_original_glcm_Correlation,0.1912512311211684
CT_original_glcm_DifferenceAverage,0.712644491328402
CT_original_glcm_Imc1,0.35521439783786746
CT_original_glcm_Imc2,0.668444504323871
CT_original_glrlm_GrayLevelNonUniformity,1.9474480733245868e-05
CT_original_glrlm_GrayLevelNonUniformityNormalized,0.9115461228805243
CT_original_glrlm_LongRunEmphasis,0.3662810191492985
CT_original_glrlm_LongRunHighGrayLevelEmphasis,0.7023149324956567
CT_original_glrlm_LongRunLowGrayLevelEmphasis,0.3430164069131466
CT_original_glrlm_LowGrayLevelRunEmphasis,0.910046920304262
CT_original_glrlm_RunEntropy,0.5027734837855667
CT_original_glrlm_RunLengthNonUniformity,0.003726096665906601
CT_original_glrlm_RunLengthNonUniformityNormalized,0.645292786210654
CT_original_glszm_GrayLevelNonUniformity,0.08168459905417134
CT_original_glszm_GrayLevelNonUniformityNormalized,0.5447572517175144
CT_original_glszm_LargeAreaEmphasis,0.14849620779412817
CT_original_glszm_LargeAreaHighGrayLevelEmphasis,0.0001713783909652498
CT_original_glszm_LargeAreaLowGrayLevelEmphasis,0.3422928691724346
CT_original_glszm_SizeZoneNonUniformity,0.4367223083220618
CT_original_glszm_SizeZoneNonUniformityNormalized,0.07773917096783964
CT_original_glszm_SmallAreaLowGrayLevelEmphasis,0.4352693381898385
CT_original_glszm_ZoneEntropy,0.04772654204081692
CT_original_gldm_DependenceNonUniformity,0.0002627812297273385
CT_original_gldm_DependenceVariance,0.5367131841977468
CT_original_gldm_LargeDependenceHighGrayLevelEmphasis,0.8496968410698199
CT_original_gldm_SmallDependenceHighGrayLevelEmphasis,0.910046920304262
CT_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.400861370906118
CT_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.45123284289681137
CT_log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.24514615491354477
CT_log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.6470226190662637
CT_log-sigma-1-0-mm-3D_firstorder_Maximum,0.645292786210654
CT_log-sigma-1-0-mm-3D_firstorder_Mean,0.19638808144872205
CT_log-sigma-1-0-mm-3D_firstorder_Median,0.17402944737105006
CT_log-sigma-1-0-mm-3D_firstorder_Minimum,0.7815824244748582
CT_log-sigma-1-0-mm-3D_firstorder_Skewness,0.1912512311211684
CT_log-sigma-1-0-mm-3D_glcm_Correlation,0.910046920304262
CT_log-sigma-1-0-mm-3D_glcm_InverseVariance,0.910046920304262
CT_log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.21578415382254776
CT_log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,0.18251076782646247
CT_log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.8496968410698199
CT_log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9926677504881606
CT_log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.8073104110571043
CT_log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.4564899956265435
CT_log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.11892769370805671
CT_log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.7799610622738259
CT_log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.9067638891574659
CT_log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,6.831337239568233e-06
CT_log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,4.150205607538561e-06
