Variable,P-value
DD_original_shape_Elongation,0.3377600530636015
DD_original_shape_Flatness,0.5937008580534316
DD_original_shape_LeastAxisLength,0.015463092378316164
DD_original_shape_MajorAxisLength,0.12107856974423584
DD_original_shape_Maximum2DDiameterColumn,0.23785767218601447
DD_original_shape_Maximum2DDiameterRow,0.004667608109350687
DD_original_shape_Maximum2DDiameterSlice,0.05841582655957316
DD_original_shape_MeshVolume,0.0003929382559303587
DD_original_shape_MinorAxisLength,0.014149147500679094
DD_original_shape_Sphericity,0.4817152369525877
DD_original_shape_SurfaceArea,0.011404722758989728
DD_original_shape_SurfaceVolumeRatio,0.01580532756442401
DD_original_firstorder_10Percentile,0.17278780834816349
DD_original_firstorder_Entropy,0.7862782244093971
DD_original_firstorder_Kurtosis,0.3961171168413553
DD_original_firstorder_Range,0.2537364503949733
DD_original_glcm_ClusterTendency,0.9590904405082703
DD_original_glcm_Contrast,0.6883422890363747
DD_original_glcm_Correlation,0.35227250612731364
DD_original_glcm_Imc1,0.2443050524298531
DD_original_glrlm_LongRunEmphasis,0.12080005018973948
DD_original_glrlm_LowGrayLevelRunEmphasis,0.3107503924732065
DD_original_glrlm_RunLengthNonUniformity,0.046587687968339404
DD_original_glrlm_RunLengthNonUniformityNormalized,0.03403211702601022
DD_original_glszm_GrayLevelNonUniformity,0.5425798985083463
DD_original_glszm_GrayLevelNonUniformityNormalized,0.3152240223842765
DD_original_glszm_LowGrayLevelZoneEmphasis,0.2793848913828176
DD_original_glszm_SizeZoneNonUniformity,0.23858585165448595
DD_original_glszm_SizeZoneNonUniformityNormalized,0.5977007941877511
DD_original_glszm_SmallAreaEmphasis,0.9545365058279632
DD_original_glszm_SmallAreaLowGrayLevelEmphasis,0.273488931047354
DD_original_glszm_ZoneEntropy,0.08237945175682519
DD_original_gldm_DependenceNonUniformity,0.011745508399035237
DD_original_gldm_GrayLevelNonUniformity,0.0009570293120866691
DD_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.5129552963752572
DD_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.6960307791520834
DD_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9448700100051081
DD_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.23228341229915803
DD_log-sigma-2-0-mm-3D_firstorder_Minimum,0.1590599615610825
DD_log-sigma-2-0-mm-3D_firstorder_Skewness,0.8091142454186392
DD_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.7537516287017326
DD_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.8181826958352125
DD_log-sigma-2-0-mm-3D_glcm_Contrast,0.6727139793775625
DD_log-sigma-2-0-mm-3D_glcm_Correlation,0.6977580120987057
DD_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.7599422677718797
DD_log-sigma-2-0-mm-3D_glcm_Imc1,0.9041247762457815
DD_log-sigma-2-0-mm-3D_glcm_Imc2,0.7537516287017326
DD_log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.020748361603641505
