Variable,P-value
CLI_inst_2,0.5749386483314656
CLI_inst_3,0.00507101828443844
CLI_inst_4,0.28187568049889145
CLI_Sex_M,0.5317956833650993
CLI_Age_40-65y,0.5247383435598848
CLI_Primary Site_Larynx,0.8159748255826482
CLI_Primary Site_Nasopharynx,0.22622491170407
CLI_Primary Site_Oropharynx,0.09011139534905087
CLI_Primary Site_unknown,0.5373591349780379
CLI_T-stage_T2,0.7279035887404427
CLI_T-stage_T3,0.9315038498847836
CLI_T-stage_T4,0.15860125767119784
CLI_T-stage_T4a,0.9911540137476795
CLI_T-stage_T4b,0.0004025792174132728
CLI_N-stage_N1,0.8820557837023854
CLI_N-stage_N2,0.6450110234684069
CLI_N-stage_N2a,0.6156046247592374
CLI_N-stage_N2b,0.8536903944866266
CLI_N-stage_N2c,0.05540969716498885
CLI_N-stage_N3,0.4150817590349661
CLI_N-stage_N3b,0.06800684265602198
CLI_TNM group stage_Stade II,0.6156046247592374
CLI_TNM group stage_Stade III,0.31650070939720965
CLI_TNM group stage_Stade IVA,0.9148827383863078
CLI_TNM group stage_Stade IVB,0.5252355512508552
CLI_TNM group stage_Stage II,0.7018603154063044
CLI_TNM group stage_Stage IIB,0.7555441759253493
CLI_TNM group stage_Stage III,0.6808007502521631
CLI_TNM group stage_Stage IV,0.35618565162536714
CLI_TNM group stage_Stage IVA,0.7644704188812912
CLI_TNM group stage_StageII,0.824285615963251
CLI_TNM group stage_stage I,0.8296061025988156
CLI_TNM group stage_stage IIB,0.7555441759253493
CLI_TNM group stage_stage III,0.8693572553875122
CLI_TNM group stage_stage IV,0.7279035887404427
CLI_TNM group stage_stage IVA,0.9712279678834729
CLI_TNM group stage_stage IVB,3.8093173105827697e-07
CLI_PET_time_Medium,0.9911540137476795
CLI_PET_time_High,0.8536681465043823
CLI_RT_time_Medium,0.9603052757145545
CLI_RT_time_High,0.831946385381587
CLI_RT_endtime_Medium,0.8909962717051706
CLI_RT_endtime_High,0.28187568049889145
CLI_Therapy_radiation,0.7529081982535515
DD_original_shape_Elongation,0.34474287760745764
DD_original_shape_Flatness,0.604680686688902
DD_original_shape_LeastAxisLength,0.015410245172648645
DD_original_shape_MajorAxisLength,0.12314620981018463
DD_original_shape_Maximum2DDiameterColumn,0.24285468210588873
DD_original_shape_Maximum2DDiameterRow,0.004546371535081838
DD_original_shape_Maximum2DDiameterSlice,0.059452027474155386
DD_original_shape_MeshVolume,0.0003543005424529764
DD_original_shape_MinorAxisLength,0.014072304432788747
DD_original_shape_Sphericity,0.4921972146724642
DD_original_shape_SurfaceArea,0.011197364163371732
DD_original_shape_SurfaceVolumeRatio,0.015808692547937833
DD_original_firstorder_10Percentile,0.17583585520772832
DD_original_firstorder_Entropy,0.7934348133846686
DD_original_firstorder_Kurtosis,0.40413097223656647
DD_original_firstorder_Range,0.259345435206136
DD_original_glcm_ClusterTendency,0.9603052757145545
DD_original_glcm_Contrast,0.6981975539918528
DD_original_glcm_Correlation,0.3588700909994178
DD_original_glcm_Imc1,0.24954705807205213
DD_original_glrlm_LongRunEmphasis,0.12281586761291585
DD_original_glrlm_LowGrayLevelRunEmphasis,0.31650070939720965
DD_original_glrlm_RunLengthNonUniformity,0.04769511793511927
DD_original_glrlm_RunLengthNonUniformityNormalized,0.0345511813297896
DD_original_glszm_GrayLevelNonUniformity,0.5522132482496854
DD_original_glszm_GrayLevelNonUniformityNormalized,0.3214104910815809
DD_original_glszm_LowGrayLevelZoneEmphasis,0.2841666573916918
DD_original_glszm_SizeZoneNonUniformity,0.24362519888509301
DD_original_glszm_SizeZoneNonUniformityNormalized,0.609101742778183
DD_original_glszm_SmallAreaEmphasis,0.9563181599319146
DD_original_glszm_SmallAreaLowGrayLevelEmphasis,0.2798409633096125
DD_original_glszm_ZoneEntropy,0.08378940367044076
DD_original_gldm_DependenceNonUniformity,0.011656287433494908
DD_original_gldm_GrayLevelNonUniformity,0.0008053960964054047
DD_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.5247383435598848
DD_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.7051571963642879
DD_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9459370568825841
DD_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.23694553509618954
DD_log-sigma-2-0-mm-3D_firstorder_Minimum,0.16174538948354233
DD_log-sigma-2-0-mm-3D_firstorder_Skewness,0.8159748255826482
DD_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.7604018303658502
DD_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.824285615963251
DD_log-sigma-2-0-mm-3D_glcm_Contrast,0.6822628949976334
DD_log-sigma-2-0-mm-3D_glcm_Correlation,0.7069937908770303
DD_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.7658209854841749
DD_log-sigma-2-0-mm-3D_glcm_Imc1,0.9056312816313417
DD_log-sigma-2-0-mm-3D_glcm_Imc2,0.7604018303658502
DD_log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.02084890609677797
DD_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9180324060330435
DD_log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7816170701431228
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.5653598475725987
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9565903767388357
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.10717480932310541
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.17235237484765667
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.4480213891710944
DD_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.953409133858652
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.042504552372154523
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.118139236969778
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.00507101828443844
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7658209854841749
DD_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.7499303626622488
DD_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.3214104910815809
DD_log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.12677285472996636
DD_log-sigma-3-0-mm-3D_firstorder_90Percentile,0.7388167728038842
DD_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.08867299709351387
DD_log-sigma-3-0-mm-3D_firstorder_Mean,0.4533655330876213
DD_log-sigma-3-0-mm-3D_firstorder_Minimum,0.15151056817395928
DD_log-sigma-3-0-mm-3D_firstorder_Skewness,0.7279035887404427
DD_log-sigma-3-0-mm-3D_glcm_Correlation,0.6041428492940437
DD_log-sigma-3-0-mm-3D_glcm_Imc1,0.5221064594119912
DD_log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9981886981428926
DD_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.461364043321998
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.31935560650445044
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6812730394226912
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.03966468457617086
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.05115935898038404
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.35851876503376817
DD_log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.6048400690783151
DD_log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.6110970311424154
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.06129036659271368
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.711406275664718
DD_log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.042504552372154523
DD_log-sigma-4-0-mm-3D_firstorder_Kurtosis,0.015808692547937833
DD_log-sigma-4-0-mm-3D_firstorder_Skewness,0.9074331259011799
DD_log-sigma-4-0-mm-3D_glcm_Contrast,0.9390887570789802
DD_log-sigma-4-0-mm-3D_glcm_Imc1,0.6255628274987619
DD_log-sigma-4-0-mm-3D_glcm_Imc2,0.9529346670642026
DD_log-sigma-4-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.029860813880607146
DD_log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.8478156001138374
DD_log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.8713850573192256
DD_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.23871417726188315
DD_log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.7604018303658502
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,0.9148827383863078
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.5358789946410228
DD_log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.1872947741968056
DD_wavelet-LLH_firstorder_10Percentile,0.9603052757145545
DD_wavelet-LLH_firstorder_Kurtosis,0.5373591349780379
DD_wavelet-LLH_firstorder_Maximum,0.28187568049889145
DD_wavelet-LLH_firstorder_Minimum,0.15860125767119784
DD_wavelet-LLH_firstorder_Skewness,0.7529081982535515
