Variable,P-value
CLI_inst_2,0.5728509989184973
CLI_inst_3,0.006383113641517213
CLI_inst_4,0.2591538305281459
CLI_Sex_M,0.51827961583267
CLI_Age_40-65y,0.5100799546270207
CLI_Primary Site_Larynx,0.8111683895084504
CLI_Primary Site_Nasopharynx,0.2116227086230227
CLI_Primary Site_Oropharynx,0.07888539660186271
CLI_Primary Site_unknown,0.5302141630940206
CLI_T-stage_T2,0.729919282597334
CLI_T-stage_T3,0.9253589287121269
CLI_T-stage_T4,0.1429921784398864
CLI_T-stage_T4a,0.9882009351513816
CLI_T-stage_T4b,0.0005060479500593329
CLI_N-stage_N1,0.8721184737951067
CLI_N-stage_N2,0.6510541658343822
CLI_N-stage_N2a,0.6190591961664161
CLI_N-stage_N2b,0.8464048133056208
CLI_N-stage_N2c,0.0501651579271504
CLI_N-stage_N3,0.39876898779739794
CLI_N-stage_N3b,0.05966182043710122
CLI_TNM group stage_Stade II,0.6190591961664161
CLI_TNM group stage_Stade III,0.30038589889453676
CLI_TNM group stage_Stade IVA,0.9044629343153681
CLI_TNM group stage_Stade IVB,0.5100799546270207
CLI_TNM group stage_Stage II,0.7087857047885869
CLI_TNM group stage_Stage IIB,0.7595589877175707
CLI_TNM group stage_Stage III,0.6886855547149564
CLI_TNM group stage_Stage IV,0.33579792072425185
CLI_TNM group stage_Stage IVA,0.7634795691037712
CLI_TNM group stage_StageII,0.8166558286342404
CLI_TNM group stage_stage I,0.8204066904628163
CLI_TNM group stage_stage IIB,0.7595589877175707
CLI_TNM group stage_stage III,0.8599040689156161
CLI_TNM group stage_stage IV,0.729919282597334
CLI_TNM group stage_stage IVA,0.9696545000171543
CLI_TNM group stage_stage IVB,2.3941837193337274e-07
CLI_PET_time_Medium,0.9882009351513816
CLI_PET_time_High,0.8464048133056208
CLI_RT_time_Medium,0.9546999991541355
CLI_RT_time_High,0.8204066904628163
CLI_RT_endtime_Medium,0.8807947175862811
CLI_RT_endtime_High,0.2591538305281459
CLI_Therapy_radiation,0.7530469161957729
DD_original_shape_Elongation,0.3258813424762168
DD_original_shape_Flatness,0.610714411962107
DD_original_shape_LeastAxisLength,0.015773449604327233
DD_original_shape_MajorAxisLength,0.10859760243572951
DD_original_shape_Maximum2DDiameterColumn,0.22686871862749516
DD_original_shape_Maximum2DDiameterRow,0.00593465748169191
DD_original_shape_Maximum2DDiameterSlice,0.05344211693706866
DD_original_shape_MeshVolume,0.0005060479500593329
DD_original_shape_MinorAxisLength,0.014740909993194348
DD_original_shape_Sphericity,0.4799155536264883
DD_original_shape_SurfaceArea,0.012180504917420688
DD_original_shape_SurfaceVolumeRatio,0.015949699847526623
DD_original_firstorder_10Percentile,0.15766680799172586
DD_original_firstorder_Entropy,0.790779182052485
DD_original_firstorder_Kurtosis,0.38147814027946525
DD_original_firstorder_Range,0.24066042112664163
DD_original_glcm_ClusterTendency,0.9546999991541355
DD_original_glcm_Contrast,0.7046362598857566
DD_original_glcm_Correlation,0.3361174065917392
DD_original_glcm_Imc1,0.23148894347885496
DD_original_glrlm_LongRunEmphasis,0.10854930541620628
DD_original_glrlm_LowGrayLevelRunEmphasis,0.30038589889453676
DD_original_glrlm_RunLengthNonUniformity,0.04355786813012669
DD_original_glrlm_RunLengthNonUniformityNormalized,0.03276399261312279
DD_original_glszm_GrayLevelNonUniformity,0.5500534508293979
DD_original_glszm_GrayLevelNonUniformityNormalized,0.30386203421722047
DD_original_glszm_LowGrayLevelZoneEmphasis,0.26183226601551063
DD_original_glszm_SizeZoneNonUniformity,0.22695055775329065
DD_original_glszm_SizeZoneNonUniformityNormalized,0.6159417205905446
DD_original_glszm_SmallAreaEmphasis,0.9527589908878248
DD_original_glszm_SmallAreaLowGrayLevelEmphasis,0.25745429338441095
DD_original_glszm_ZoneEntropy,0.0736296293633087
DD_original_gldm_DependenceNonUniformity,0.012525202238374021
DD_original_gldm_GrayLevelNonUniformity,0.0010123946441908565
DD_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.5073523789730277
DD_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.7097979009390472
DD_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9430449547310409
DD_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.220873074746344
DD_log-sigma-2-0-mm-3D_firstorder_Minimum,0.1452259389302288
DD_log-sigma-2-0-mm-3D_firstorder_Skewness,0.8111683895084504
DD_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.7622160400015859
DD_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.8166558286342404
DD_log-sigma-2-0-mm-3D_glcm_Contrast,0.6899181567638696
DD_log-sigma-2-0-mm-3D_glcm_Correlation,0.7121005692450448
DD_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.7634795691037712
DD_log-sigma-2-0-mm-3D_glcm_Imc1,0.896060820709345
DD_log-sigma-2-0-mm-3D_glcm_Imc2,0.7622160400015859
DD_log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.020903504803353897
DD_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9092644983701881
DD_log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7815875003981018
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.5651075674085769
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9527589908878248
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.09486554390515055
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.15412645426610475
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.4300012020195896
DD_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.9527589908878248
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.03889305445818061
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.10359264036088568
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.006383113641517213
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7634795691037712
DD_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.7477166201491539
DD_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.30386203421722047
DD_log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.11287669070606805
DD_log-sigma-3-0-mm-3D_firstorder_90Percentile,0.7395231279510136
DD_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.07754083282691523
DD_log-sigma-3-0-mm-3D_firstorder_Mean,0.4340537870736592
DD_log-sigma-3-0-mm-3D_firstorder_Minimum,0.13680282724105775
DD_log-sigma-3-0-mm-3D_firstorder_Skewness,0.729919282597334
DD_log-sigma-3-0-mm-3D_glcm_Correlation,0.6090476065671789
DD_log-sigma-3-0-mm-3D_glcm_Imc1,0.5062542106000258
DD_log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9948277934353408
DD_log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.4425868074634797
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.3032296120680205
DD_log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6896033317707624
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.03678129386099632
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.04658212087079775
DD_log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.3361174065917392
DD_log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.611680319634591
DD_log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.6173079376330224
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,0.05471795813552135
DD_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7163109525692527
DD_log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.03889305445818061
DD_log-sigma-4-0-mm-3D_firstorder_Kurtosis,0.015949699847526623
DD_log-sigma-4-0-mm-3D_firstorder_Skewness,0.8976765580475349
DD_log-sigma-4-0-mm-3D_glcm_Contrast,0.9349982140838701
DD_log-sigma-4-0-mm-3D_glcm_Imc1,0.6295029759403191
DD_log-sigma-4-0-mm-3D_glcm_Imc2,0.9510961309323687
DD_log-sigma-4-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.028902318620241976
DD_log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.8413048747852292
DD_log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.8617449147899603
DD_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.22254984277464004
DD_log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.7622160400015859
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaEmphasis,0.9044629343153681
DD_log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.5227365863453839
DD_log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.16858112720932908
DD_wavelet-LLH_firstorder_10Percentile,0.9546999991541355
DD_wavelet-LLH_firstorder_Kurtosis,0.5302141630940206
DD_wavelet-LLH_firstorder_Maximum,0.2591538305281459
DD_wavelet-LLH_firstorder_Minimum,0.1429921784398864
DD_wavelet-LLH_firstorder_Skewness,0.7530469161957729
DD_wavelet-LLH_glcm_ClusterShade,0.8950469421214554
DD_wavelet-LLH_glcm_ClusterTendency,0.8522630599158378
DD_wavelet-LLH_glcm_Contrast,0.5073523789730277
DD_wavelet-LLH_glcm_Correlation,0.6190591961664161
DD_wavelet-LLH_glcm_Imc1,0.5651075674085769
DD_wavelet-LLH_glcm_Imc2,0.493434797595704
DD_wavelet-LLH_glrlm_LongRunEmphasis,0.11258901220353533
DD_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.7993378825198665
DD_wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.36688601753657557
DD_wavelet-LLH_glszm_GrayLevelNonUniformity,0.04768317227190688
DD_wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.9035249850132209
DD_wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.16482637539919737
DD_wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.47446822252245335
DD_wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.3876609192952009
DD_wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.493434797595704
DD_wavelet-LLH_glszm_SmallAreaEmphasis,0.07754083282691523
DD_wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.7793062424919556
DD_wavelet-LLH_glszm_ZoneEntropy,0.493434797595704
