Variable,P-value
CLI_inst_2,0.8113143849798742
CLI_inst_3,0.000205370446438605
CLI_inst_4,0.1386276790453377
CLI_Sex_M,0.44767722207395616
CLI_Age_40-65y,0.25047801962849786
CLI_Primary Site_Larynx,0.560216725878158
CLI_Primary Site_Nasopharynx,0.4710350965346889
CLI_Primary Site_Oropharynx,0.007099431907643786
CLI_Primary Site_unknown,0.5038190318217715
CLI_T-stage_T2,0.26450512745919824
CLI_T-stage_T3,0.721232474334018
CLI_T-stage_T4,0.2475755286938914
CLI_T-stage_T4a,0.39496205217626873
CLI_T-stage_T4b,0.0016091245069257576
CLI_N-stage_N1,0.8136991585655624
CLI_N-stage_N2,0.6303585892930866
CLI_N-stage_N2a,0.4741238908938591
CLI_N-stage_N2b,0.8968884073581274
CLI_N-stage_N2c,0.07628914222129236
CLI_N-stage_N3,0.9046687256692703
CLI_N-stage_N3b,0.03468453122352804
CLI_M-stage_Mx,0.009359504603997851
CLI_TNM group stage_Stade II,0.5672918864588089
CLI_TNM group stage_Stade III,0.3472759368180262
CLI_TNM group stage_Stade IVA,0.5545930720792905
CLI_TNM group stage_Stade IVB,0.5690164736679986
CLI_TNM group stage_Stage II,0.5950840679208839
CLI_TNM group stage_Stage IIB,0.7956889874125225
CLI_TNM group stage_Stage III,0.9258126174885115
CLI_TNM group stage_Stage IV,0.2549629511601163
CLI_TNM group stage_Stage IVA,0.5016633709815149
CLI_TNM group stage_StageII,0.7777540549005513
CLI_TNM group stage_stage I,0.8355921362145318
CLI_TNM group stage_stage II,0.7715592839781539
CLI_TNM group stage_stage IIB,0.8968884073581274
CLI_TNM group stage_stage III,0.7793780336775665
CLI_TNM group stage_stage IV,0.7481829434079629
CLI_TNM group stage_stage IVA,0.9213839008769552
CLI_TNM group stage_stage IVB,0.0007041198536233725
CLI_PET_time_Medium,0.721232474334018
CLI_PET_time_High,0.7105747326790525
CLI_RT_time_Medium,0.9503833619972207
CLI_RT_time_High,0.7793780336775665
CLI_RT_endtime_Medium,0.8908226633217519
CLI_RT_endtime_High,0.020722900388552734
CLI_Therapy_radiation,0.6836146140447712
PET_original_shape_Elongation,0.3596282392679529
PET_original_shape_Flatness,0.9432654900733279
PET_original_shape_LeastAxisLength,0.006140401656313053
PET_original_shape_MajorAxisLength,0.10044715646131397
PET_original_shape_Maximum2DDiameterColumn,0.12106852669467433
PET_original_shape_Maximum2DDiameterRow,0.0016091245069257576
PET_original_shape_Maximum2DDiameterSlice,0.013078998917239371
PET_original_shape_MeshVolume,1.9898220913560606e-05
PET_original_shape_MinorAxisLength,0.00289203481864065
PET_original_shape_Sphericity,0.16374981708585942
PET_original_shape_SurfaceVolumeRatio,0.12450322604294528
PET_original_firstorder_10Percentile,0.9607358904456939
PET_original_firstorder_Energy,0.8110174927778319
PET_original_firstorder_Entropy,0.6159161594278522
PET_original_firstorder_Kurtosis,0.5269427057027217
PET_original_firstorder_Skewness,0.9291885970256248
PET_original_firstorder_Uniformity,0.9696474053370318
PET_original_glcm_Correlation,0.6442085822323572
PET_original_glcm_Imc1,0.7431825855708825
PET_original_glcm_InverseVariance,0.582147549788098
PET_original_glrlm_GrayLevelNonUniformity,0.10502635327447372
PET_original_glrlm_RunLengthNonUniformity,0.0002579129766122216
PET_original_glszm_GrayLevelNonUniformity,0.0033053575678674506
PET_original_glszm_LargeAreaEmphasis,0.14021123214533615
PET_original_glszm_LargeAreaHighGrayLevelEmphasis,0.24664008504599846
PET_original_glszm_SizeZoneNonUniformity,0.0026784804556648856
PET_original_glszm_SmallAreaLowGrayLevelEmphasis,0.44767722207395616
PET_original_glszm_ZoneVariance,0.4815812385981672
PET_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7754606243993787
PET_log-sigma-2-0-mm-3D_firstorder_Median,0.9274689332969142
PET_log-sigma-2-0-mm-3D_glcm_Correlation,0.7941336750699148
PET_log-sigma-2-0-mm-3D_glcm_Imc1,0.10506892902067735
PET_log-sigma-2-0-mm-3D_glcm_InverseVariance,0.1312142602152933
PET_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.012998133444421373
PET_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.721232474334018
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0015077682275094198
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.7812645958032712
PET_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.9232534972817958
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0015077682275094198
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.11714829554576839
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.20254977642653094
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.6873640559779627
PET_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.523619483983749
PET_log-sigma-3-0-mm-3D_glcm_Imc1,0.19082918112278532
PET_log-sigma-3-0-mm-3D_glcm_InverseVariance,0.15910431846557604
PET_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.009834510912903577
PET_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8432129331128082
PET_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.014782359884010374
PET_wavelet-LLH_firstorder_Kurtosis,0.21914811983796664
PET_wavelet-LLH_firstorder_Median,0.9213839008769552
PET_wavelet-LLH_firstorder_Skewness,0.721232474334018
PET_wavelet-LLH_glcm_Correlation,0.5548450314815472
PET_wavelet-LLH_glcm_Imc1,0.2694836905936566
PET_wavelet-LLH_glcm_InverseVariance,0.04074300449337065
PET_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.9270504683341946
PET_wavelet-LLH_glszm_LargeAreaEmphasis,0.016160637575261858
PET_wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.0011903505937571348
PET_wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.2771204068317775
PET_wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.014086669235597973
PET_wavelet-LLH_glszm_SmallAreaEmphasis,0.040962908245067216
PET_wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.7715592839781539
PET_wavelet-LHL_firstorder_Kurtosis,0.760201788441241
PET_wavelet-LHL_firstorder_Skewness,0.7754606243993787
PET_wavelet-LHL_glcm_Correlation,0.9411840077892314
PET_wavelet-LHL_glcm_Imc1,0.3472759368180262
PET_wavelet-LHL_glcm_InverseVariance,0.19082918112278532
PET_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.3406972122925162
PET_wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.0029806376714341153
PET_wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.07677890980068972
PET_wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.10944195785449463
