Variable,P-value
CLI_inst_2,0.8090286494663415
CLI_inst_3,0.0002689500605871163
CLI_inst_4,0.2566173487634803
CLI_Sex_M,0.4914832509480512
CLI_Age_40-65y,0.25635345332288284
CLI_Primary Site_Larynx,0.6595920896500885
CLI_Primary Site_Nasopharynx,0.3776543607097194
CLI_Primary Site_Oropharynx,0.004316916795832629
CLI_Primary Site_unknown,0.5581413352006771
CLI_T-stage_T2,0.2706301222230437
CLI_T-stage_T3,0.6713377169228667
CLI_T-stage_T4,0.3238341519820407
CLI_T-stage_T4a,0.4657703498931204
CLI_T-stage_T4b,0.0012930112794426382
CLI_N-stage_N1,0.8746211511481662
CLI_N-stage_N2,0.6633376925181398
CLI_N-stage_N2a,0.5467543364494432
CLI_N-stage_N2b,0.9027743496517964
CLI_N-stage_N2c,0.0974225933947286
CLI_N-stage_N3,0.7027351675281699
CLI_N-stage_N3b,0.04514913379609327
CLI_M-stage_Mx,0.7227805875743814
CLI_TNM group stage_Stade II,0.6151548187937977
CLI_TNM group stage_Stade III,0.40752925407887197
CLI_TNM group stage_Stade IVA,0.6250753928349033
CLI_TNM group stage_Stade IVB,0.6338516657723521
CLI_TNM group stage_Stage II,0.6633376925181398
CLI_TNM group stage_Stage IIB,0.8201813368991676
CLI_TNM group stage_Stage III,0.9711388842147565
CLI_TNM group stage_Stage IV,0.44544612049623655
CLI_TNM group stage_Stage IVA,0.5644963304361409
CLI_TNM group stage_StageII,0.8056259124738055
CLI_TNM group stage_stage I,0.8634114967590053
CLI_TNM group stage_stage II,0.8032753479467619
CLI_TNM group stage_stage IIB,0.9027743496517964
CLI_TNM group stage_stage III,0.8037189570501906
CLI_TNM group stage_stage IV,0.7845095038946175
CLI_TNM group stage_stage IVA,0.9296725375088273
CLI_TNM group stage_stage IVB,0.000531390169245641
CLI_PET_time_Medium,0.7845095038946175
CLI_PET_time_High,0.7437108674461249
CLI_RT_time_Medium,0.888267002815826
CLI_RT_time_High,0.8205817860045953
CLI_RT_endtime_Medium,0.9027743496517964
CLI_RT_endtime_High,0.021966079377506772
CLI_Therapy_radiation,0.6662812345137378
CT_original_shape_Elongation,0.47717087768087824
CT_original_shape_Flatness,0.9802120432278681
CT_original_shape_LeastAxisLength,0.0010066270420042989
CT_original_shape_MajorAxisLength,0.027927422942059504
CT_original_shape_Maximum2DDiameterColumn,0.06100418123134736
CT_original_shape_Maximum2DDiameterRow,0.0002690664484090897
CT_original_shape_Maximum2DDiameterSlice,0.0037106889300838547
CT_original_shape_MeshVolume,2.939146942203705e-07
CT_original_shape_Sphericity,0.40752925407887197
CT_original_shape_SurfaceVolumeRatio,0.4914832509480512
CT_original_firstorder_10Percentile,0.8056259124738055
CT_original_firstorder_90Percentile,0.4848529484890201
CT_original_firstorder_Entropy,0.751504798345159
CT_original_firstorder_InterquartileRange,0.44408699586528494
CT_original_firstorder_Kurtosis,0.7872774390179884
CT_original_firstorder_Maximum,0.8239737916322555
CT_original_firstorder_MeanAbsoluteDeviation,0.7234116942597907
CT_original_firstorder_Minimum,0.44974276772479876
CT_original_firstorder_Range,0.6633376925181398
CT_original_firstorder_RobustMeanAbsoluteDeviation,0.4162093579330882
CT_original_firstorder_Skewness,0.9027743496517964
CT_original_glcm_Contrast,0.7161906163963238
CT_original_glcm_Correlation,0.19802722914770798
CT_original_glcm_DifferenceAverage,0.7135448425329333
CT_original_glcm_Imc1,0.36375041277523906
CT_original_glcm_Imc2,0.6675256934188856
CT_original_glrlm_GrayLevelNonUniformity,2.2180904037564028e-05
CT_original_glrlm_GrayLevelNonUniformityNormalized,0.9046532810474672
CT_original_glrlm_LongRunEmphasis,0.3765732778217556
CT_original_glrlm_LongRunHighGrayLevelEmphasis,0.7012976323823701
CT_original_glrlm_LongRunLowGrayLevelEmphasis,0.350894231408942
CT_original_glrlm_LowGrayLevelRunEmphasis,0.9027743496517964
CT_original_glrlm_RunEntropy,0.5123668719322145
CT_original_glrlm_RunLengthNonUniformity,0.003846055027224025
CT_original_glrlm_RunLengthNonUniformityNormalized,0.6545263575153473
CT_original_glszm_GrayLevelNonUniformity,0.08250409910738542
CT_original_glszm_GrayLevelNonUniformityNormalized,0.5557527597915858
CT_original_glszm_LargeAreaEmphasis,0.15197470821752054
CT_original_glszm_LargeAreaHighGrayLevelEmphasis,0.00019519532747401565
CT_original_glszm_LargeAreaLowGrayLevelEmphasis,0.34978297204982794
CT_original_glszm_SizeZoneNonUniformity,0.44544612049623655
CT_original_glszm_SizeZoneNonUniformityNormalized,0.07812600174571409
CT_original_glszm_SmallAreaLowGrayLevelEmphasis,0.44544612049623655
CT_original_glszm_ZoneEntropy,0.04711133585942472
CT_original_gldm_DependenceNonUniformity,0.00027792205586829653
CT_original_gldm_DependenceVariance,0.5467543364494432
CT_original_gldm_LargeDependenceHighGrayLevelEmphasis,0.8475995698747144
CT_original_gldm_SmallDependenceHighGrayLevelEmphasis,0.9027743496517964
CT_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.409834669429387
CT_log-sigma-1-0-mm-3D_firstorder_90Percentile,0.4625477449996619
