Variable,P-value
DD_original_glszm_ZoneEntropy,0.05651581112788962
DD_original_gldm_DependenceNonUniformity,0.0072000439831751365
DD_original_gldm_GrayLevelNonUniformity,0.000122341040449276
DD_original_gldm_LargeDependenceLowGrayLevelEmphasis,0.4977306093457864
DD_log-sigma-2-0-mm-3D_firstorder_10Percentile,0.7909163446156938
DD_log-sigma-2-0-mm-3D_firstorder_Entropy,0.9883394796126248
DD_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.1202842474130637
DD_log-sigma-2-0-mm-3D_firstorder_Minimum,0.05651581112788962
DD_log-sigma-2-0-mm-3D_firstorder_Skewness,0.4159394876136003
DD_log-sigma-2-0-mm-3D_glcm_ClusterShade,0.5783401903894554
DD_log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.7580998903731868
DD_log-sigma-2-0-mm-3D_glcm_Contrast,0.631073340366422
DD_log-sigma-2-0-mm-3D_glcm_Correlation,0.630736409535838
DD_log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.7958426395555763
DD_log-sigma-2-0-mm-3D_glcm_Imc1,0.8227789914454768
DD_log-sigma-2-0-mm-3D_glcm_Imc2,0.6941305283877032
DD_log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.01951509471943416
DD_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.9499232420053039
DD_log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.7088637841573956
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.23364999861144153
DD_log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.8485183672326537
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.0916638725165384
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.14913503991826751
DD_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.4407645876944493
DD_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.8235291784247072
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,6.406367007833271e-17
DD_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.06413107650163408
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.0019809520543192026
DD_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8485183672326537
DD_log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.6226491180389561
DD_log-sigma-2-0-mm-3D_gldm_DependenceEntropy,0.34490680428338993
DD_log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.1499938792307724
DD_log-sigma-3-0-mm-3D_firstorder_90Percentile,0.8235291784247072
DD_log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.05651581112788962
DD_log-sigma-3-0-mm-3D_firstorder_Mean,0.6204073695842031
DD_log-sigma-3-0-mm-3D_firstorder_Minimum,0.06088391379330319
DD_log-sigma-3-0-mm-3D_firstorder_Skewness,0.5624426923413479
