Variable,P-value
PET_original_shape_Elongation,0.35213324181247324
PET_original_shape_Flatness,0.9475456808434932
PET_original_shape_LeastAxisLength,0.005993497038373721
PET_original_shape_MajorAxisLength,0.09982065624378461
PET_original_shape_Maximum2DDiameterColumn,0.11923841052373035
PET_original_shape_Maximum2DDiameterRow,0.001644783549284972
PET_original_shape_Maximum2DDiameterSlice,0.01311879547775101
PET_original_shape_MeshVolume,1.8322802390283863e-05
PET_original_shape_MinorAxisLength,0.002891323720824412
PET_original_shape_Sphericity,0.1604096974053078
PET_original_shape_SurfaceVolumeRatio,0.12239632561047901
PET_original_firstorder_10Percentile,0.9649367270190168
PET_original_firstorder_Energy,0.808610769848347
PET_original_firstorder_Entropy,0.6097306705081148
PET_original_firstorder_Kurtosis,0.5198813884023042
PET_original_firstorder_Skewness,0.9343593137994599
PET_original_firstorder_Uniformity,0.9727839517234297
PET_original_glcm_Correlation,0.6385667838762675
PET_original_glcm_Imc1,0.7372550065263253
PET_original_glcm_InverseVariance,0.5766414277873548
PET_original_glrlm_GrayLevelNonUniformity,0.10398387983974092
PET_original_glrlm_RunLengthNonUniformity,0.0002638811292551894
PET_original_glszm_GrayLevelNonUniformity,0.003261063988460326
PET_original_glszm_LargeAreaEmphasis,0.13791313692280072
PET_original_glszm_LargeAreaHighGrayLevelEmphasis,0.238282117095313
PET_original_glszm_SizeZoneNonUniformity,0.0026840397195447207
PET_original_glszm_SmallAreaLowGrayLevelEmphasis,0.4378972030646991
PET_original_glszm_ZoneVariance,0.4730161104303284
PET_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7687296499359725
PET_log-sigma-2-0-mm-3D_firstorder_Median,0.93279113059127
PET_log-sigma-2-0-mm-3D_glcm_Correlation,0.7911983315007672
PET_log-sigma-2-0-mm-3D_glcm_Imc1,0.10398387983974092
PET_log-sigma-2-0-mm-3D_glcm_InverseVariance,0.1283771188315504
PET_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.013057114178248352
PET_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.7149061168654374
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0015272316727870802
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.7790754922911176
PET_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.9277635735713577
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.0015272316727870802
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.11551025714217654
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.19693933319071838
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.6804135158250013
PET_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.5168504707309965
PET_log-sigma-3-0-mm-3D_glcm_Imc1,0.1856669459435147
PET_log-sigma-3-0-mm-3D_glcm_InverseVariance,0.1559935107678935
PET_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.009910202761257363
PET_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8424256194497711
PET_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.014709724336304254
PET_wavelet-LLH_firstorder_Kurtosis,0.21248070969204086
PET_wavelet-LLH_firstorder_Median,0.9260458638551168
PET_wavelet-LLH_firstorder_Skewness,0.7149061168654374
PET_wavelet-LLH_glcm_Correlation,0.5465611105456061
PET_wavelet-LLH_glcm_Imc1,0.26469080797265643
PET_wavelet-LLH_glcm_InverseVariance,0.040972758278107695
