Variable,P-value
CLI_inst_2,0.5521217914149804
CLI_inst_3,0.007573496943493857
CLI_inst_4,0.4253643832476501
CLI_Sex_M,0.5070056686100385
CLI_Age_40-65y,0.445231438164716
CLI_Primary Site_Larynx,0.7852564228859665
CLI_Primary Site_Nasopharynx,0.10541827707885422
CLI_Primary Site_Oropharynx,0.0597769117449739
CLI_Primary Site_unknown,0.5355510744688357
CLI_T-stage_T2,0.6251230242144423
CLI_T-stage_T3,0.9684607245310731
CLI_T-stage_T4,0.1610086977691572
CLI_T-stage_T4a,0.9990567073881516
CLI_T-stage_T4b,0.00026304812223697433
CLI_N-stage_N1,0.926310846747798
CLI_N-stage_N2,0.6226899721055766
CLI_N-stage_N2a,0.6251230242144423
CLI_N-stage_N2b,0.8566370843142211
CLI_N-stage_N2c,0.055225473757547695
CLI_N-stage_N3,0.16956694798359592
CLI_N-stage_N3b,0.06618341782831728
CLI_TNM group stage_Stade II,0.6226899721055766
CLI_TNM group stage_Stade III,0.312747079978251
CLI_TNM group stage_Stade IVA,0.9362573012573795
CLI_TNM group stage_Stade IVB,0.5194851832546254
CLI_TNM group stage_Stage II,0.696671856715107
CLI_TNM group stage_Stage IIB,0.7601310472795443
CLI_TNM group stage_Stage III,0.8981737382425846
CLI_TNM group stage_Stage IV,0.5521217914149804
CLI_TNM group stage_Stage IVA,0.7881511560158719
CLI_TNM group stage_StageII,0.8322102497483422
CLI_TNM group stage_stage I,0.8356721250966651
CLI_TNM group stage_stage IIB,0.7601310472795443
CLI_TNM group stage_stage III,0.8677084253795173
CLI_TNM group stage_stage IV,0.7113063120280158
CLI_TNM group stage_stage IVA,0.9608200553494565
CLI_TNM group stage_stage IVB,2.37157719480949e-07
CLI_PET_time_Medium,0.9774975449801807
CLI_PET_time_High,0.8584380972488886
CLI_RT_time_Medium,0.8576213359623881
CLI_RT_time_High,0.8267891957615109
CLI_RT_endtime_Medium,0.908107224987546
CLI_RT_endtime_High,0.25090772716680243
CLI_Therapy_radiation,0.6381087845032363
DD_original_shape_Elongation,0.43948011807178083
DD_original_shape_Flatness,0.687834286536224
DD_original_shape_LeastAxisLength,0.004159447014865414
DD_original_shape_MajorAxisLength,0.04051271308515532
DD_original_shape_Maximum2DDiameterColumn,0.09596594803343923
DD_original_shape_Maximum2DDiameterRow,0.001304619553761877
DD_original_shape_Maximum2DDiameterSlice,0.01595850221789764
DD_original_shape_MeshVolume,0.0001100720330978663
DD_original_shape_MinorAxisLength,0.0042978023301826025
