Variable,P-value
CLI_inst_2,0.7663010624760753
CLI_inst_3,0.0002651081494474247
CLI_inst_4,0.1031734049373015
CLI_Sex_M,0.3756327810000923
CLI_Age_40-65y,0.1946006798127314
CLI_Primary Site_Larynx,0.4791745010607224
CLI_Primary Site_Nasopharynx,0.39610670991189656
CLI_Primary Site_Oropharynx,0.0058914636558391395
CLI_Primary Site_unknown,0.4196641793446315
CLI_T-stage_T2,0.20446339418692688
CLI_T-stage_T3,0.6725976354799308
CLI_T-stage_T4,0.19309819585191948
CLI_T-stage_T4a,0.32173598080341426
CLI_T-stage_T4b,0.001762458386556142
CLI_N-stage_N1,0.7663010624760753
CLI_N-stage_N2,0.5610764920681027
CLI_N-stage_N2a,0.39824260517043664
CLI_N-stage_N2b,0.87072873569778
CLI_N-stage_N2c,0.05766527414227987
CLI_N-stage_N3,0.8791409029140971
CLI_N-stage_N3b,0.027474642359428994
CLI_M-stage_Mx,0.0076541938444884125
CLI_TNM group stage_Stade II,0.48526201846475475
CLI_TNM group stage_Stade III,0.2790745667149913
CLI_TNM group stage_Stade IVA,0.4697333106033668
CLI_TNM group stage_Stade IVB,0.48687264056490104
CLI_TNM group stage_Stage II,0.5211051112632675
CLI_TNM group stage_Stage IIB,0.7499898098771715
CLI_TNM group stage_Stage III,0.8933283237162943
CLI_TNM group stage_Stage IV,0.19828080886538124
CLI_TNM group stage_Stage IVA,0.4196641793446315
CLI_TNM group stage_StageII,0.7350754767849834
CLI_TNM group stage_stage I,0.7971903387534376
CLI_TNM group stage_stage II,0.7350754767849834
CLI_TNM group stage_stage IIB,0.87072873569778
CLI_TNM group stage_stage III,0.7350754767849834
CLI_TNM group stage_stage IV,0.7102540495825899
CLI_TNM group stage_stage IVA,0.8930067147164199
CLI_TNM group stage_stage IVB,0.0009089326854002227
CLI_PET_time_Medium,0.6725976354799308
CLI_PET_time_High,0.6513911902505719
CLI_RT_time_Medium,0.9205423085861608
CLI_RT_time_High,0.7350754767849834
CLI_RT_endtime_Medium,0.8671423515600911
CLI_RT_endtime_High,0.015658965072580883
CLI_Therapy_radiation,0.6184913043939736
PET_original_shape_Elongation,0.29092129510488446
PET_original_shape_Flatness,0.9094410207033178
PET_original_shape_LeastAxisLength,0.0051864806493369
PET_original_shape_MajorAxisLength,0.07598648086088518
PET_original_shape_Maximum2DDiameterColumn,0.09153816562235641
PET_original_shape_Maximum2DDiameterRow,0.001762458386556142
PET_original_shape_Maximum2DDiameterSlice,0.01040289644228344
PET_original_shape_MeshVolume,2.5686171575164294e-05
PET_original_shape_MinorAxisLength,0.002778850382145977
PET_original_shape_Sphericity,0.12289593204818736
PET_original_shape_SurfaceVolumeRatio,0.094068724789018
PET_original_firstorder_10Percentile,0.9330973118417729
PET_original_firstorder_Energy,0.7663010624760753
PET_original_firstorder_Entropy,0.5435659142910138
PET_original_firstorder_Kurtosis,0.4360375891224693
PET_original_firstorder_Skewness,0.8933283237162943
PET_original_firstorder_Uniformity,0.9421370047969605
PET_original_glcm_Correlation,0.5731894675482627
PET_original_glcm_Imc1,0.6962006973622814
PET_original_glcm_InverseVariance,0.5038359356517319
PET_original_glrlm_GrayLevelNonUniformity,0.07986413293747004
PET_original_glrlm_RunLengthNonUniformity,0.0003699268167128823
PET_original_glszm_GrayLevelNonUniformity,0.0029091904739875466
PET_original_glszm_LargeAreaEmphasis,0.10374136125945801
PET_original_glszm_LargeAreaHighGrayLevelEmphasis,0.19223076806754663
PET_original_glszm_SizeZoneNonUniformity,0.002594283034977068
PET_original_glszm_SmallAreaLowGrayLevelEmphasis,0.3756327810000923
PET_original_glszm_ZoneVariance,0.4032405589043592
PET_log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7350754767849834
PET_log-sigma-2-0-mm-3D_firstorder_Median,0.8933283237162943
PET_log-sigma-2-0-mm-3D_glcm_Correlation,0.7467210934028521
PET_log-sigma-2-0-mm-3D_glcm_Imc1,0.07986413293747004
PET_log-sigma-2-0-mm-3D_glcm_InverseVariance,0.09844399239419153
PET_log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.01040289644228344
PET_log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.6718858206265905
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.001585910355957508
PET_log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.7350754767849834
PET_log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.8930067147164199
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.001585910355957508
PET_log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.08839671581380162
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.15596277739156741
PET_log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.6254758840125644
PET_log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.4359886844981704
PET_log-sigma-3-0-mm-3D_glcm_Imc1,0.14611632174939973
PET_log-sigma-3-0-mm-3D_glcm_InverseVariance,0.12062248551811969
PET_log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.007917406486985834
PET_log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8102622675651584
PET_log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.011518096853382972
PET_wavelet-LLH_firstorder_Kurtosis,0.16902506980880805
PET_wavelet-LLH_firstorder_Median,0.8930067147164199
PET_wavelet-LLH_firstorder_Skewness,0.6706576482181422
PET_wavelet-LLH_glcm_Correlation,0.4745439433316817
PET_wavelet-LLH_glcm_Imc1,0.2097306280157172
PET_wavelet-LLH_glcm_InverseVariance,0.03150185202132828
PET_wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.8933283237162943
PET_wavelet-LLH_glszm_LargeAreaEmphasis,0.012443647014197461
PET_wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.0014772426486054564
PET_wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.21689865066734323
PET_wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.010944175515321624
PET_wavelet-LLH_glszm_SmallAreaEmphasis,0.03150185202132828
PET_wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.7350754767849834
PET_wavelet-LHL_firstorder_Kurtosis,0.7243132358519323
PET_wavelet-LHL_firstorder_Skewness,0.7350754767849834
PET_wavelet-LHL_glcm_Correlation,0.9027779764903163
PET_wavelet-LHL_glcm_Imc1,0.2790745667149913
PET_wavelet-LHL_glcm_InverseVariance,0.14611632174939973
PET_wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.2760957041670563
PET_wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.002778850382145977
PET_wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.05766527414227987
PET_wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.08293826281777664
PET_wavelet-LHL_glszm_SmallAreaEmphasis,0.09770265702034181
PET_wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.7350754767849834
PET_wavelet-LHH_firstorder_Kurtosis,0.7663010624760753
PET_wavelet-LHH_firstorder_Skewness,0.3024498115292408
PET_wavelet-LHH_glcm_Correlation,0.7663010624760753
PET_wavelet-LHH_glrlm_LongRunEmphasis,0.9421370047969605
PET_wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.14318924676402853
PET_wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.01090169152418964
PET_wavelet-LHH_glrlm_RunEntropy,0.051368414760387185
PET_wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.06898783496252915
PET_wavelet-LHH_glszm_LargeAreaEmphasis,0.014604351198250492
PET_wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.0020131592663149922
PET_wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.06131051517653275
PET_wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.4196641793446315
PET_wavelet-LHH_glszm_SmallAreaEmphasis,0.1031734049373015
PET_wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.8933283237162943
PET_wavelet-LHH_glszm_ZoneEntropy,0.07986413293747004
PET_wavelet-LHH_gldm_DependenceEntropy,0.094068724789018
PET_wavelet-LHH_gldm_DependenceVariance,0.39610670991189656
PET_wavelet-HLL_firstorder_Kurtosis,0.5635825002905402
PET_wavelet-HLL_firstorder_Median,0.7102540495825899
PET_wavelet-HLL_firstorder_Skewness,0.9205423085861608
PET_wavelet-HLL_glcm_Imc1,0.07986413293747004
PET_wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.37289686558815366
PET_wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.06120580816381641
PET_wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.051963799673616494
PET_wavelet-HLL_glszm_SmallAreaEmphasis,0.19861502926360902
PET_wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.6937020686294392
PET_wavelet-HLH_firstorder_Kurtosis,0.5320186176857854
PET_wavelet-HLH_firstorder_Skewness,0.7350754767849834
PET_wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.3756327810000923
PET_wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.015796821857175087
PET_wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.0029091904739875466
PET_wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.007709580937334456
PET_wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.0036481430379174257
PET_wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.6184913043939736
PET_wavelet-HLH_glszm_SmallAreaEmphasis,0.19223076806754663
PET_wavelet-HLH_glszm_SmallAreaLowGrayLevelEmphasis,0.17456153622279805
PET_wavelet-HLH_glszm_ZoneEntropy,0.020655209383079357
PET_wavelet-HHL_firstorder_Kurtosis,0.4697333106033668
PET_wavelet-HHL_firstorder_Skewness,0.3987473106136658
PET_wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.09844399239419153
PET_wavelet-HHL_glrlm_LowGrayLevelRunEmphasis,0.0033713418191094833
PET_wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.0019594006393945577
PET_wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.002594283034977068
PET_wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.0009089326854002227
PET_wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.39610670991189656
PET_wavelet-HHL_glszm_SmallAreaEmphasis,0.16273564329249612
PET_wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.2790745667149913
PET_wavelet-HHL_glszm_ZoneEntropy,0.027736203041935116
PET_wavelet-HHL_gldm_DependenceVariance,0.4360375891224693
PET_wavelet-HHH_firstorder_Kurtosis,0.13534861548739469
PET_wavelet-HHH_firstorder_Skewness,0.3756327810000923
PET_wavelet-HHH_glcm_ClusterShade,0.2595249839732964
PET_wavelet-HHH_glcm_ClusterTendency,0.03813719079696269
PET_wavelet-HHH_glcm_Contrast,0.010944175515321624
PET_wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.0034083426891753713
PET_wavelet-HHH_glrlm_ShortRunLowGrayLevelEmphasis,0.0028897017631476533
PET_wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.0028897017631476533
PET_wavelet-HHH_glszm_LargeAreaEmphasis,0.0020131592663149922
PET_wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.09770265702034181
PET_wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.9421370047969605
PET_wavelet-HHH_glszm_SmallAreaEmphasis,0.12859360135913075
PET_wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.9330973118417729
PET_wavelet-HHH_glszm_ZoneEntropy,0.08337469829699427
PET_wavelet-LLL_glcm_Correlation,0.19958408605490702
PET_wavelet-LLL_glcm_Imc1,0.7350754767849834
PET_wavelet-LLL_glszm_GrayLevelNonUniformity,0.015658965072580883
PET_wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.7108718452073964
PET_gradient_firstorder_Kurtosis,0.7994813301431842
PET_gradient_firstorder_Minimum,0.6637838044159439
PET_gradient_firstorder_Skewness,0.7894880375764162
PET_gradient_glcm_Correlation,0.4697333106033668
